Name,City
Long Bay College,Auckland
Rangitoto College,Auckland
Kristin School,Auckland
Glenfield College,Auckland
Birkenhead College,Auckland
Northcote College,Auckland
Hato Petera College,Auckland
Carmel College,Auckland
Takapuna Grammar School,Auckland
Westlake Boys' High School,Auckland
Westlake Girls' High School,Auckland
Rosmini College,Auckland
Rutherford College,Auckland
Macleans College,Auckland
Green Bay High School,Auckland
Massey High School,Auckland
Waitakere College,Auckland
Henderson High School,Auckland
Liston College,Auckland
St Dominic's Catholic College (Henderson),Auckland
Western Springs College,Auckland
Selwyn College,Auckland
St Mary's College (Ponsonby),Auckland
St Paul's College (Ponsonby),Auckland
Tyndale Park Christian School,Manukau
Auckland Girls' Grammar School,Auckland
Auckland Grammar,Auckland
Tamaki College,Auckland
Tangaroa College,Auckland
Sacred Heart College (Auckland),Auckland
Saint Kentigern Girls' School,Auckland
Baradene College,Auckland
St Peter's College (Epsom),Auckland
Marcellin College,Auckland
Epsom Girls Grammar School,Auckland
Glendowie College,Auckland
Dilworth School,Auckland
Diocesan School For Girls,Auckland
St Cuthbert's College (Epsom),Auckland
Mt Albert Grammar School,Auckland
Marist College,Auckland
Hebron Christian College (Auckland),Auckland
Mt Roskill Grammar,Auckland
Lynfield College,Auckland
Bethlehem College,Tauranga
Avondale College,Auckland
Edgewater College,Auckland
Pakuranga College,Auckland
St Kentigern College (Pakuranga),Auckland
Kelston Boys' High School,Auckland
Kelston Girls' College,Auckland
One Tree Hill College,Auckland
Onehunga High School,Auckland
Howick College,Auckland
Otahuhu College,Auckland
Kings College,Auckland
McAuley High School,Auckland
Mangere College,Auckland
Auckland Seventh-Day Adventist H S,Auckland
De La Salle College,Auckland
Papatoetoe High School,Auckland
Aorere College,Auckland
Sir Edmund Hillary Collegiate Senior School,Auckland
Manurewa High School,Auckland
James Cook High School,Auckland
Papakura High School,Papakura
Rosehill College,Papakura
Pukekohe High School,Pukekohe
Wesley College,Pukekohe
Waiuku College,Waiuku
Tuakau College,Tuakau
Onewhero Area School,Tuakau
Coromandel Area School,Coromandel
Mercury Bay Area School,Whitianga
Thames High School,Thames
Hauraki Plains College,Ngatea
Paeroa College,Paeroa
Waihi College,Waihi
Te Kauwhata College,Te Kauwhata
Te Aroha College,Te Aroha
Katikati College,Katikati
Mt Maunganui College,Mount Maunganui
Huntly College,Huntly
Otumoetai College,Tauranga
Tauranga Boys' College,Tauranga
Tauranga Girls' College,Tauranga
Te Puke High School,Te Puke
Matamata College,Matamata
Raglan Area School,Raglan
Morrinsville College,Morrinsville
Ngaruawahia High School,Ngaruawahia
Fairfield College,Hamilton
St Paul's Collegiate (Hamilton),Hamilton
Hamilton Boys' High School,Hamilton
Hamilton Girls' High School,Hamilton
Raphael House Rudolf Steiner Area School,Lower Hutt
Flaxmere College,Hastings
Fraser High School,Hamilton
St John's College (Hillcrest),Hamilton
Melville High School,Hamilton
Hillcrest High School,Hamilton
Sacred Heart Girls' College (Ham),Hamilton
Waikato Diocesan School For Girls,Hamilton
St Peter's School (Cambridge),Cambridge
Cambridge High School,Cambridge
Trident High School,Whakatane
Whakatane High School,Whakatane
Edgecumbe College,Edgecumbe
Te Awamutu College,Te Awamutu
Opotiki College,Opotiki
Western Heights High School,Rotorua
Rotorua Boys' High School,Rotorua
Rotorua Girls' High School,Rotorua
Rotorua Lakes High School,Rotorua
Otorohanga College,Otorohanga
Tokoroa High School,Tokoroa
Forest View High School,Tokoroa
Te Kuiti High School,Te Kuiti
Benneydale School,Benneydale
Piopio College,Piopio
Reporoa College,Reporoa
Tauhara College,Taupo
Taupo-nui-a-Tia College,Taupo
Taumarunui High School,Taumarunui
Waitara High School,Waitara
New Plymouth Boys' High School,New Plymouth
New Plymouth Girls' High School,New Plymouth
Spotswood College,New Plymouth
Sacred Heart Girls' College (N Plymouth),New Plymouth
Francis Douglas Memorial College,New Plymouth
Ohura Valley Primary,Ohura
Inglewood High School,Inglewood
Stratford High School,Stratford
St Mary's Diocesan School (Stratford),Stratford
Opunake High School,Opunake
Hawera High School,Hawera
Ruapehu College,Ohakune
Patea Area School,Patea
Whanganui City College,Whanganui
Whanganui Girls' College,Whanganui
Whanganui High School,Whanganui
Cullinane College,Whanganui
Longburn Adventist College,Palmerston North
Wanganui Collegiate School,Whanganui
Rangitikei College,Marton
Nga Tawa Diocesan School,Marton
Feilding High School,Feilding
Awatapu College,Palmerston North
Hato Paora College,Feilding
Freyberg High School,Palmerston North
Queen Elizabeth College,Palmerston North
Palmerston North Boys' High School,Palmerston North
Palmerston North Girls' High School,Palmerston North
St Peter's College (Palmerston North),Palmerston North
Manawatu College,Foxton
Ngata Memorial College,Ruatoria
Lytton High School,Gisborne
Gisborne Boys' High School,Gisborne
Gisborne Girls' High School,Gisborne
Campion College,Gisborne
Tolaga Bay Area School,Tolaga Bay
Wairoa College,Wairoa
Taradale High School,Napier
Napier Boys' High School,Napier
Napier Girls' High School,Napier
Tamatea High School,Napier
Sacred Heart College (Napier),Napier
William Colenso College,Napier
Te Wharekura o Ruatoki,Whakatane
St Joseph's Maori Girls' College,Napier
Havelock North High School,Havelock North
Iona College,Havelock North
Woodford House,Havelock North
St John's College (Hastings),Hastings
Hastings Boys' High School,Hastings
Hastings Girls' High School,Hastings
Karamu High School,Hastings
Lindisfarne College,Hastings
Taikura Rudolf Steiner School,Hastings
Te Aute College,Pukehou
Central Hawkes Bay College,Waipukurau
Dannevirke High School,Dannevirke
Tararua College,Pahiatua
Horowhenua College,Levin
Waiopehu College,Levin
Kaitaia Abundant Life School,Kaitaia
Otaki College,Otaki
Wairarapa College,Masterton
Solway College,Masterton
Makoura College,Masterton
Chanel College,Masterton
Rathkeale College,Masterton
St Matthew's Collegiate (Masterton),Masterton
Kapiti College,Raumati Beach
Paraparaumu College,Paraparaumu
Kuranui College,Greytown
Upper Hutt College,Upper Hutt
Heretaunga College,Upper Hutt
St Patrick's College (Silverstream),Upper Hutt
Aotea College,Porirua
Mana College,Porirua
Porirua College,Porirua
Bishop Viard College,Porirua
Tawa College,Wellington
Taita College,Lower Hutt
Naenae College,Lower Hutt
St Bernard's College,Lower Hutt
Hutt Valley High School,Lower Hutt
Sacred Heart College (Lower Hutt),Lower Hutt
Chilton Saint James School,Lower Hutt
St Oran's College,Lower Hutt
Waipa Christian School,Te Awamutu
Newlands College,Wellington
Onslow College,Wellington
Wellington Girls' College,Wellington
Wellington High School and Com Ed Centre,Wellington
Wellington East Girls' College,Wellington
Wellington College,Wellington
St Patrick's College (Kilbirnie),Wellington
Rongotai College,Wellington
Queen Margaret College,Wellington
TKKM o Hoani Waititi,Auckland
Samuel Marsden Collegiate School,Wellington
